,Unnamed: 0,Rank,Name,Position,Height,Weight
673,80,79,jonah-mathews,SG,73,175
674,81,80,temple-gibbs,SG,75,190
675,82,81,myles-powell,SG,74,195
676,83,82,tyree-crump,SG,74,170
677,84,83,zach-norvell,SG,76,180
678,85,84,markus-howard,SG,72,178
679,86,85,sedee-keita,PF,82,215
680,87,86,Sam Hauser,SF,78,180
681,88,87,jethro-tshisumpa,C,82,260
682,89,88,carsen-edwards,PG,73,175
683,90,89,jj-caldwell,PG,71,170
684,91,90,troy-baxter,SF,80,195
685,92,91,deshawn-corprew,SF,77,190
686,93,92,quentin-goodin,SG,75,190
687,94,93,mamadou-diarra,PF,80,215
688,95,94,tyrique-jones,PF,79,220
689,96,95,alpha-diallo,SF,79,195
690,97,96,jared-harper,PG,70,160
691,98,97,robert-baker-jr,PF,81,190
692,0,1,marvin-bagley-iii,PF,83,220
693,1,2,michael-porter-jr,SF,82,215
694,2,3,deandre-ayton,C,84,220
695,3,4,mohamed-bamba,C,84,216
696,4,5,wendell-carter,PF,81,255
697,5,6,trevon-duval,PG,75,191
698,6,7,collin-sexton,PG,75,175
699,7,8,gary-trent-jr,SG,77,200
700,8,9,jaren-jackson,PF,83,225
701,9,10,kevin-knox,SF,81,206
702,10,11,mitchell-robinson,C,83,215
703,11,12,pj-washington,PF,80,230
704,12,13,lonnie-walker,SG,76,206
705,13,14,brian-bowen,SF,79,195
706,14,15,troy-brown-jr,SF,79,215
707,15,16,brandon-mccoy,C,83,244
708,16,17,nick-richards,C,83,239
709,17,18,billy-preston,PF,82,230
710,18,19,jarred-vanderbilt,PF,80,200
711,19,20,jaylen-hands,PG,75,170
712,20,21,nickeil-alexander-walker,SG,77,195
713,21,22,john-petty,SG,77,185
714,22,23,trae-young,PG,74,170
715,23,24,quade-green,PG,73,170
716,24,25,jontay-porter,PF,82,240
717,25,26,kris-wilkes,SF,79,194
718,26,27,mj-walker,SG,77,207
719,27,28,jalek-felton,SG,75,180
720,28,29,Malik Williams,PF,83,215
721,29,30,charles-obannon-jr,SF,78,200
722,30,31,matt-coleman,PG,73,174
723,31,32,Paul Scruggs,PG,75,190
724,32,33,chaundee-brown,SG,77,208
725,33,34,tremont-waters,PG,71,165
726,34,35,shai-gilgeous-alexander,PG,77,185
727,35,36,nick-weatherspoon,PG,74,175
728,36,37,brandon-randolph,SG,78,180
729,37,38,makai-ashton-langford,PG,74,185
730,38,39,lindell-wigginton,SG,73,165
731,39,40,rayshaun-hammonds,SF,80,215
732,40,41,ethan-thompson,SG,77,180
733,41,42,jordan-tucker,SF,79,207
734,42,43,emmanuel-akot,SF,80,185
735,43,44,kezie-okpala,SF,80,195
736,44,45,cody-riley,PF,80,240
737,45,46,jeremiah-tilmon,C,82,215
738,46,47,dan-gafford,C,82,220
739,47,48,chris-lykes,PG,67,160
740,48,49,jalen-hill,C,80,220
741,49,50,chuma-okeke,PF,80,221
742,50,51,jordan-poole,SG,77,185
743,51,52,jermaine-samuels,SF,77,205
744,52,53,dj-harvey-jr,SF,78,205
745,53,54,darius-perry,PG,74,160
746,54,55,jordan-goodwin,SG,76,220
747,55,56,jordan-nwora,PF,80,220
748,56,57,kimani-lawrence,SF,77,180
749,57,58,khalil-garland,SF,78,190
750,58,59,jaylen-nowell,SG,77,191
751,59,60,daejon-davis,SG,76,175
752,60,61,terrence-lewis,SF,77,195
753,61,62,isaiah-stokes,C,80,273
754,62,63,davion-mitchell,PG,74,195
755,63,64,Marcus Garrett,PG,77,180
756,64,65,deaundre-ballard,SG,78,195
757,65,66,jemarl-baker,SG,76,180
758,66,67,jericho-sims,C,80,190
759,67,68,isaiah-washington,PG,73,160
760,68,69,ira-lee,PF,80,225
761,69,70,Naji Marshall,SF,78,185
762,70,71,dshawn-schwartz,SF,79,217
763,71,72,kaleb-wesson,C,81,316
764,72,73,wabissa-bede,PG,73,180
765,73,74,xavier-tillman,PF,81,250
766,74,75,isaiah-livers,PF,79,185
767,75,76,zack-dawson,PG,75,180
768,76,77,myles-cale,SG,76,195
769,77,78,ty-shon-alexander,SG,76,190
770,78,79,galen-alexander,SF,79,220
771,79,80,Josh Anderson,SF,77,180
772,80,81,Savion Flagg,SF,79,200
773,81,82,royce-hamm,PF,80,210
774,82,83,ikey-obiagu,C,84,245
775,83,84,nojel-eastern,SG,78,207
776,84,85,remy-martin,PG,72,170
777,85,86,Nate Reuvers,PF,82,220
778,86,87,Alex O'Connell,SG,78,175
779,87,88,kyle-young,SF,79,210
780,88,89,victor-bailey-jr,SG,75,175
781,89,90,Hasahn French,PF,79,230
782,90,91,justin-smith,SF,79,215
783,91,92,connor-mccaffery,SG,78,195
784,92,93,Da'Monte Williams,SG,75,180
785,93,94,Deng Gak,PF,82,195
786,94,95,JaMarko Pickett,PF,79,160
787,95,96,alex-barcello,SG,74,175
788,96,97,lavar-batts,PG,74,165
789,97,98,Chase Johnson,PF,80,210
790,98,99,blake-harris,PG,75,190
